row_index,timestamp,actual_load_kw,predicted_load_kw,context_length_used,residual_kw
43104,2025-04-01 00:00:00,0.3,0.7902989387512207,512,-0.4902989387512207
43105,2025-04-01 00:15:00,0.28,0.5011547803878784,512,-0.2211547803878784
43106,2025-04-01 00:30:00,0.3,0.4722139239311218,512,-0.17221392393112184
43107,2025-04-01 00:45:00,0.3,0.4965013265609741,512,-0.19650132656097413
43108,2025-04-01 01:00:00,0.31,0.43065890669822693,512,-0.12065890669822693
43109,2025-04-01 01:15:00,0.31,0.3968275189399719,512,-0.08682751893997193
43110,2025-04-01 01:30:00,0.3,0.44208669662475586,512,-0.14208669662475587
43111,2025-04-01 01:45:00,0.29,0.4285667836666107,512,-0.13856678366661074
43112,2025-04-01 02:00:00,0.27,0.4258721172809601,512,-0.15587211728096007
43113,2025-04-01 02:15:00,0.27,0.38880136609077454,512,-0.11880136609077452
43114,2025-04-01 02:30:00,0.3,0.3672681450843811,512,-0.06726814508438111
43115,2025-04-01 02:45:00,0.28,0.3844478130340576,512,-0.10444781303405759
43116,2025-04-01 03:00:00,0.31,0.38706451654434204,512,-0.07706451654434204
43117,2025-04-01 03:15:00,0.31,0.4418522119522095,512,-0.13185221195220947
43118,2025-04-01 03:30:00,0.31,0.4958533048629761,512,-0.18585330486297608
43119,2025-04-01 03:45:00,0.31,0.4351629614830017,512,-0.1251629614830017
43120,2025-04-01 04:00:00,0.3,0.4292246699333191,512,-0.1292246699333191
43121,2025-04-01 04:15:00,0.32,0.38599783182144165,512,-0.06599783182144164
43122,2025-04-01 04:30:00,1.85,0.40902018547058105,512,1.440979814529419
43123,2025-04-01 04:45:00,2.08,1.1646736860275269,512,0.9153263139724732
43124,2025-04-01 05:00:00,1.58,1.573584794998169,512,0.006415205001831126
43125,2025-04-01 05:15:00,0.31,1.4158077239990234,512,-1.1058077239990234
43126,2025-04-01 05:30:00,0.32,0.566737711429596,512,-0.24673771142959594
43127,2025-04-01 05:45:00,0.31,0.5429190397262573,512,-0.23291903972625733
43128,2025-04-01 06:00:00,0.29,0.461116224527359,512,-0.17111622452735903
43129,2025-04-01 06:15:00,0.29,0.36197876930236816,512,-0.07197876930236818
43130,2025-04-01 06:30:00,0.27,0.3413946032524109,512,-0.07139460325241087
